Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,Country_Code
Afghanistan,0,0,0,0,34.3,38.6,39.9,0,45.2,50.5,0,0,AFG
Albania,93,89.1,99.1,99.8,0,0,0,0,0,0,0,0,ALB
Algeria,0,0,92,0,0,0,96.6,0,0,0,0,0,DZA
Angola,0,0,0,0,0,0,0,0,0,0,46.9,0,AGO
Antigua and Barbuda,0,0,99.9,99.9,100,0,100,100,100,0,0,0,ATG
Argentina,96.9,98.5,99.1,99.1,95,97.1,98.2,97,99.6,99.6,0,0,ARG
Armenia,99.7,93.1,96.8,97.8,99.5,100,100,100,100,0,99.8,0,ARM
Armenia,99.7,93.1,96.8,97.8,99.5,100,100,100,100,0,99.8,0,ARM
Armenia,99.7,93.1,96.8,97.8,99.5,100,100,100,100,0,99.8,0,ARM
Armenia,99.7,93.1,96.8,97.8,99.5,100,100,100,100,0,99.8,0,ARM
Australia,0,99.3,99.3,99.4,99.1,99.1,0,99.3,99.7,99.7,0,0,AUS
Austria,0,0,98.3,98.6,98.5,98.6,98.5,98.5,98.5,98.5,98.4,0,AUT
Azerbaijan,97.3,91.5,80.7,94.4,99.4,97.2,99.8,99.9,99.9,99.8,99.8,0,AZE
Azerbaijan,97.3,91.5,80.7,94.4,99.4,97.2,99.8,99.9,99.9,99.8,99.8,0,AZE
Azerbaijan,97.3,91.5,80.7,94.4,99.4,97.2,99.8,99.9,99.9,99.8,99.8,0,AZE
Azerbaijan,97.3,91.5,80.7,94.4,99.4,97.2,99.8,99.9,99.9,99.8,99.8,0,AZE
Bahamas,99,0,99,0,99,99,0,98,99.6,0,0,0,BHS
Bahrain,0,97.6,97.7,97.5,99.3,99.6,99.8,99.8,99.8,99.7,0,0,BHR
Bangladesh,0,13.7,12.1,0,26.5,31.7,0,36.5,42.1,0,49.8,0,BGD
Barbados,0,100,98,100,0,100,98.9,98.6,99.7,99,0,0,BRB
Belarus,99.9,99.9,99.9,100,99.9,99.8,100,99.8,99.8,0,0,0,BLR
Belize,0,0,76.8,76.8,94,96.2,0,94.2,0,0,96.8,0,BLZ
Benin,0,0,0,0,0,0,80.9,0,77.2,0,0,0,BEN
Bhutan,0,0,23.7,52.3,64.5,70,81,89,89,89,89,0,BTN
Bolivia (Plurinational State of),0,0,67.3,0,0,84,84.8,73.5,0,0,89.8,0,BOL
Bosnia and Herzegovina,97,0,98.9,99.9,99.9,99.9,99.9,0,99.9,99.9,0,0,BIH
Botswana,0,0,98.5,94,99.1,99.8,99.8,99.9,99.5,99.7,0,0,BWA
Brazil,0,0,98.6,98.6,98.9,99,99,99.1,99.1,99.1,0,0,BRA
Brunei Darussalam,0,96.2,99.2,99.6,99.8,99.6,99.8,99.7,99.9,100,100,0,BRN
Bulgaria,99.1,98.9,99.8,99.4,99.5,0,0,99.7,99.7,99.8,0,0,BGR
Burkina Faso,0,0,36.5,36.7,65.9,0,0,0,0,79.8,0,0,BFA
Burundi,0,0,25.2,31.8,60.3,0,0,0,0,0,0,85.1,BDI
Cabo Verde,0,54,0,77.5,98.5,98.7,0,92.3,95.6,91.4,0,0,CPV
Cambodia,0,43.3,31.8,43.8,71,71.7,0,0,89,0,0,0,KHM
Cameroon,0,0,56,0,0,56.1,0,0,64.7,0,0,0,CMR
Canada,0,99.4,99.3,98.8,98.5,98.4,98.1,98,97.9,0,0,0,CAN
Central African Republic,0,45.9,31.7,0,40,0,0,0,0,0,0,0,CAF
Chad,0,0,13.7,0,16.6,0,0,0,0,20.2,0,0,TCD
Chile,0,99.5,99,99.8,99.8,99.8,99.8,99.8,99.8,99.7,0,0,CHL
China,94,89.3,96.6,97.5,99.6,99.7,99.8,99.9,99.9,99.9,0,0,CHN
Colombia,80.6,83.6,86.1,90.7,94.8,99.2,98.7,98.7,98.9,95.9,0,0,COL
Comoros,0,0,61.8,0,0,0,82.2,0,0,0,0,0,COM
Congo,0,0,0,83.4,0,0,92.5,0,0,91.2,0,0,COG
Congo,0,0,0,83.4,0,0,92.5,0,0,91.2,0,0,COD
Congo,0,0,0,83.4,0,0,92.5,0,0,91.2,0,0,COD
Congo (Democratic Republic of the),0,0,0,0,74.1,0,0,0,80.1,0,0,0,COD
Congo (Democratic Republic of the),0,0,0,0,74.1,0,0,0,80.1,0,0,0,COD
Costa Rica,0,0,98.4,98.5,95.3,98.4,98.9,99,99.2,90,0,0,CRI
Croatia,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,0,HRV
Cuba,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.4,99.9,99.9,0,CUB
Cyprus,100,100,97.9,99.3,98.6,98.3,98.7,99.9,97.4,0,0,0,CYP
Cyprus,100,100,97.9,99.3,98.6,98.3,98.7,99.9,97.4,0,0,0,CYP
Cyprus,100,100,97.9,99.3,98.6,98.3,98.7,99.9,97.4,0,0,0,CYP
Cyprus,100,100,97.9,99.3,98.6,98.3,98.7,99.9,97.4,0,0,0,CYP
Czechia,100,100,99.8,99.8,99.7,99.9,99.9,99.8,0,0,0,0,CZE
Côte d'Ivoire,0,0,62.8,55.1,0,0,59.4,0,0,0,73.6,0,CIV
Denmark,0,0,98.8,98.8,98.5,98.5,98.2,96.3,95.9,95.4,94.4,0,DNK
Djibouti,0,0,0,0,0,0,87.4,0,0,0,0,0,DJI
Dominica,0,0,100,99,0,100,100,100,100,96,96,0,DMA
Dominican Republic,0,0,97.6,0,97.8,98.7,98.8,98.6,98.5,99.6,0,0,DOM
Dominican Republic,0,0,97.6,0,97.8,98.7,98.8,98.6,98.5,99.6,0,0,DOM
Dominican Republic,0,0,97.6,0,97.8,98.7,98.8,98.6,98.5,99.6,0,0,DOM
Ecuador,0,0,0,80,89.2,91.1,93.1,94.7,96.3,95,96.7,0,ECU
Egypt,0,46.3,60.9,74.2,0,0,95,0,91.5,0,0,0,EGY
El Salvador,0,0,0,87.2,98,99,99.5,99.8,98,99.9,99.9,0,SLV
Equatorial Guinea,0,0,64.6,0,0,68.3,0,0,0,0,0,0,GNQ
Eritrea,0,20.6,0,0,34.1,0,0,0,0,0,0,0,ERI
Estonia,0,99.3,99.5,99.6,99.3,99.4,99.3,99.4,99.4,99.5,99.4,0,EST
Eswatini (Kingdom of),0,0,65.4,0,82,0,0,0,88.3,0,0,0,SWZ
Ethiopia,0,0,5.6,5.7,0,10,0,0,15.5,0,27.7,0,GNB
Ethiopia,0,0,5.6,5.7,0,10,0,0,15.5,0,27.7,0,GNB
Ethiopia,0,0,5.6,5.7,0,10,0,0,15.5,0,27.7,0,GNB
Fiji,95.3,96.2,96.9,97.2,99.7,99.6,99.3,99.7,99.7,99.9,0,0,HKG
Fiji,95.3,96.2,96.9,97.2,99.7,99.6,99.3,99.7,99.7,99.9,0,0,HKG
Finland,98.8,98.5,98.4,99.8,99.8,99.7,99.8,0,99.7,99.9,0,0,IRN
Finland,98.8,98.5,98.4,99.8,99.8,99.7,99.8,0,99.7,99.9,0,0,IRN
France,0,0,0,97.9,97.5,96.2,97.1,98.3,98.3,97.7,97.4,0,IRQ
France,0,0,0,97.9,97.5,96.2,97.1,98.3,98.3,97.7,97.4,0,IRQ
France,0,0,0,97.9,97.5,96.2,97.1,98.3,98.3,97.7,97.4,0,IRQ
Gabon,0,0,85.5,0,0,0,89.3,0,0,0,0,0,GAB
Gambia,44.1,0,51.6,0,56.1,0,0,57.2,0,0,0,0,GMB
Georgia,96.6,0,95.5,98.3,99.6,99.8,99.8,99.9,99.9,99.9,0,0,GEO
Georgia,96.6,0,95.5,98.3,99.6,99.8,99.8,99.9,99.9,99.9,0,0,GEO
Georgia,96.6,0,95.5,98.3,99.6,99.8,99.8,99.9,99.9,99.9,0,0,GEO
Georgia,96.6,0,95.5,98.3,99.6,99.8,99.8,99.9,99.9,99.9,0,0,GEO
Germany,0,0,98.6,98.2,98.3,98.3,98.5,98.5,98.5,98.7,0,0,DEU
Ghana,0,0,0,0,0,67.2,0,0,70.8,0,0,0,GHA
Grenada,0,0,100,100,0,100,99,99,99,0,99.3,0,GRD
Guatemala,0,34.8,0,0,52.3,0,58.7,62.8,0,65.5,0,0,GTM
Guinea,0,0,0,38,0,0,45.3,0,0,0,62.7,0,GIN
Guinea,0,0,0,38,0,0,45.3,0,0,0,62.7,0,GNB
Guinea,0,0,0,38,0,0,45.3,0,0,0,62.7,0,GNB
Guinea,0,0,0,38,0,0,45.3,0,0,0,62.7,0,GNB
Guinea-Bissau,0,25,31.8,0,43,0,0,0,45,0,0,0,GNB
Guinea-Bissau,0,25,31.8,0,43,0,0,0,45,0,0,0,GNB
Guinea-Bissau,0,25,31.8,0,43,0,0,0,45,0,0,0,GNB
Guyana,0,0,82.9,96.7,0,0,0,0,85.7,0,0,0,GUY
Haiti,0,20.6,23.8,0,0,0,37.3,48.6,0,0,0,41.7,HTI
Honduras,0,0,0,66.9,0,0,82.8,0,0,0,0,0,HND
Hungary,99.4,99.4,99.5,99.6,99.1,99,99,99.1,99.2,0,0,0,HUN
Iceland,100,99.8,99.3,99,98.2,97.9,97.8,98.1,97.8,98.2,97.9,0,ISL
India,0,0,42.5,34.5,60.5,66.6,0,0,81.4,0,85.7,0,IND
Indonesia,0,46.1,63.5,70.5,79.8,81.3,83.1,87.4,0,0,92.6,0,IDN
Iran (Islamic Republic of),0,0,89.6,97.3,96.4,98.5,98.8,98.8,99,0,0,0,IRN
Iran (Islamic Republic of),0,0,89.6,97.3,96.4,98.5,98.8,98.8,99,0,0,0,IRN
Iraq,0,0,65.2,0,0,90.9,70.4,0,0,0,0,0,IRQ
Iraq,0,0,65.2,0,0,90.9,70.4,0,0,0,0,0,IRQ
Iraq,0,0,65.2,0,0,90.9,70.4,0,0,0,0,0,IRQ
Iraq,0,0,65.2,0,0,90.9,70.4,0,0,0,0,0,IRQ
Iraq,0,0,65.2,0,0,90.9,70.4,0,0,0,0,0,IRQ
Iraq,0,0,65.2,0,0,90.9,70.4,0,0,0,0,0,IRQ
Ireland,0,0,99.6,99.7,99.8,99.8,99.8,99.8,99.7,99.7,0,0,IRL
Italy,0,0,99.8,99.8,99.9,99.9,0,99.9,99.9,0,0,0,ITA
Jamaica,0,0,0,96.7,90.1,99.1,0,0,0,0,0,0,JAM
Japan,99.9,99.9,99.8,99.8,99.8,99.8,99.8,0,99.8,99.9,0,0,JPN
Jordan,87.2,0,0,0,0,0,99.6,0,0,0,0,0,JOR
Kazakhstan,99,99.6,98.3,99.4,99.4,100,100,100,100,99.4,0,0,KAZ
Kazakhstan,99,99.6,98.3,99.4,99.4,100,100,100,100,99.4,0,0,KAZ
Kazakhstan,99,99.6,98.3,99.4,99.4,100,100,100,100,99.4,0,0,KAZ
Kazakhstan,99,99.6,98.3,99.4,99.4,100,100,100,100,99.4,0,0,KAZ
Kenya,0,0,42.6,0,0,0,0,0,61.8,0,0,0,KEN
Kiribati,60,0,85,63,98.3,0,0,0,0,0,0,0,KIR
Korea (Democratic People's Rep. of),0,0,96.7,0,0,0,0,0,0,0,0,0,PRK
Korea (Republic of),0,0,99.9,0,0,0,99.8,0,0,100,0,0,KOR
Kuwait,0,0,100,98.6,98.6,98.8,98.8,98.7,98.7,99.9,0,0,KWT
Kyrgyzstan,98.9,98,98.6,97.9,98.3,98.6,99.1,99,98.4,0,0,0,KGZ
Lao People's Democratic Republic,0,0,16.7,14.6,37,0,40.1,0,0,0,0,0,LAO
Latvia,100,100,100,100,98.8,98.6,98.6,98.4,98.1,99.9,99.9,0,LVA
Lebanon,0,0,99.9,0,0,0,0,0,0,0,0,0,LBN
Lesotho,0,0,48.1,0,0,0,0,0,77.9,0,0,0,LSO
Liberia,0,0,50.9,0,0,0,0,61.1,0,0,0,0,LBR
Libya,0,94.4,0,0,99.9,99.9,99.9,99.9,0,0,0,0,LBY
Lithuania,100,100,100,100,100,100,100,100,100,0,0,0,LTU
Madagascar,0,0,47,0,0,0,0,44.3,0,0,0,0,MDG
Malawi,0,0,55.6,59,71.4,83.7,82.6,0,87.4,0,89.8,0,MWI
Malaysia,92.8,95.1,96.6,98.1,98.6,98.6,98.7,98.8,99,99.4,0,0,MYS
Maldives,0,0,0,91.6,98.2,98.8,95.5,95.6,95.6,0,0,0,MDV
Mali,0,0,0,0,0,0,0,57.1,0,43.7,0,0,MLI
Malta,0,0,0,99.7,99.8,99.8,99.5,99.9,99.9,99.8,99.8,0,MLT
Marshall Islands,0,0,0,0,90,90.1,0,0,0,0,0,0,MHL
Mauritania,0,0,0,0,0,65.1,0,0,0,69.3,0,0,MRT
Mauritius,91.1,98.1,99.7,99.2,99.5,0,99.5,0,99.8,99.8,99.8,0,MUS
Mexico,98.3,99.2,88.6,93.3,0,0,99.6,0,95.6,97.7,0,0,MEX
Micronesia (Federated States of),0,0,82.8,82.7,0,0,0,0,0,0,0,0,FSM
Moldova (Republic of),100,100,98,99.5,99.2,99.4,99.2,99.8,99.7,0,0,0,MDA
Mongolia,99.9,0,96.6,99.2,98.8,0,0,98.9,0,0,0,0,MNG
Montenegro,0,0,99.1,99,0,0,0,99,0,0,0,0,MNE
Morocco,0,39.6,0,0,74.1,73.6,0,0,0,0,0,0,MAR
Mozambique,0,0,0,48.5,0,54.3,0,0,0,0,0,0,MOZ
Myanmar,0,0,0,72.5,70.6,0,0,0,0,0,60.2,0,MMR
Namibia,0,0,75.5,0,0,0,0,88.2,0,0,0,0,NAM
Nepal,0,0,11.9,0,0,36,0,0,55.6,0,58,0,NPL
New Zealand,0,0,97.3,94,96.2,96.7,0,0,96.6,96.3,0,0,NZL
Nicaragua,0,0,0,79.8,74,0,88,0,0,0,0,0,NIC
Niger,0,0,15.7,0,0,0,29.3,0,0,39.7,0,0,NER
Nigeria,30.8,0,0,0,0,47.3,0,35.2,0,0,0,43,NGA
Norway,99.4,99.2,99,99.2,99.1,99.2,99.2,99.1,99.1,99.1,99.1,0,NOR
Oman,0,91.1,94.7,98,98.6,98.6,98.6,98.6,99.1,0,0,0,OMN
Pakistan,0,0,22.9,31,0,43,51,52.1,0,0,0,0,PAK
Palau,100,100,100,0,99.6,100,97.4,99.1,100,100,100,0,PLW
"Palestine, State of",0,0,97.4,0,99,0,0,0,99.6,0,0,0,
Panama,86.3,88.3,90.5,91.1,92.7,93.5,94.3,91.4,93.9,95,94.6,0,PAN
Papua New Guinea,42,0,41,38.2,40,40,44,43,44,37,40,0,PNG
Paraguay,66,0,0,87.5,95.6,96.3,95.7,0,96.4,96.3,95.5,0,PRY
Peru,0,0,59.3,0,83.8,85,86.7,89.1,90,91.6,92.4,0,PER
Philippines,0,0,58,67.6,75.8,72.2,0,72.8,0,0,0,0,PHL
Poland,97.8,99.6,99.4,99.3,99.8,99.8,99.8,99.8,99.8,99.8,99.8,0,POL
Portugal,0,0,99.7,0,0,0,0,99,98.9,98.8,0,0,PRT
Qatar,100,100,100,100,100,100,100,0,99.9,99.9,0,0,QAT
Romania,99.8,99.1,99,98.1,99.5,99.4,99.5,98.5,98.5,95.2,0,0,ROU
Russian Federation,99.2,99.1,99.2,99.4,99.7,98.7,99.7,99.7,99.7,0,0,0,RUS
Russian Federation,99.2,99.1,99.2,99.4,99.7,98.7,99.7,99.7,99.7,0,0,0,RUS
Russian Federation,99.2,99.1,99.2,99.4,99.7,98.7,99.7,99.7,99.7,0,0,0,RUS
Russian Federation,99.2,99.1,99.2,99.4,99.7,98.7,99.7,99.7,99.7,0,0,0,RUS
Rwanda,0,0,21.9,38.6,69,0,0,0,0,90.7,0,0,RWA
Saint Kitts and Nevis,0,0,99.4,100,100,100,100,100,100,0,0,0,KNA
Saint Lucia,0,0,100,100,98.5,0,98.7,0,0,0,0,0,LCA
Saint Vincent and the Grenadines,0,0,100,100,98.3,98.8,99.2,99,99,0,0,0,VCT
Samoa,76,0,80,0,0,0,0,0,82.5,0,0,0,WSM
Sao Tome and Principe,0,0,78.6,0,0,0,0,0,92.5,0,0,0,STP
Saudi Arabia,88,91.4,91,96,97,0,0,98,0,0,0,0,SAU
Senegal,0,0,57.8,51.9,0,65.1,0,50.5,59.1,53.1,53.1,0,SEN
Serbia,98.3,98.7,98,99.7,99.7,99,99,99.9,98.4,0,0,0,SRB
Seychelles,98,99,99,99,99,99,99,0,0,0,0,0,SYC
Sierra Leone,0,0,37.1,40,60.8,0,0,59.7,0,0,0,0,SLE
Singapore,0,0,99.7,99.7,99.7,99.7,99.7,99.6,99.7,99.6,99.6,0,SGP
Slovakia,100,100,100,99.5,99.2,99,99.5,98.6,98.5,0,0,0,SVK
Slovenia,99.9,99.9,99.9,99.9,99.9,99.9,99.8,0,0,0,0,0,SVN
Solomon Islands,85,0,0,0,0,0,0,0,0,86.2,0,0,SLB
South Africa,0,0,0,0,0,0,0,0,0,0,96.7,0,ZAF
South Sudan,0,0,0,0,19.4,0,0,0,0,0,0,0,SSD
Sri Lanka,0,0,96,0,0,0,0,0,0,0,0,0,LKA
Sudan,68.5,0,0,0,72.5,0,0,0,77.7,0,0,0,SDN
Suriname,80,0,70.9,0,90,0,0,0,0,80,0,0,SUR
Tajikistan,0,80.9,70.7,82.4,87.7,89,87.4,90.8,90.3,0,0,0,TJK
Tanzania (United Republic of),0,0,0,0,48.9,0,0,0,0,0,63.5,0,TZA
Thailand,90.8,94.4,99.3,0,0,0,99.6,0,0,0,99.1,0,THA
The former Yugoslav Republic of Macedonia,88.9,94.1,97.7,99.1,99.9,91.2,99.9,99.9,99.9,99.9,99.9,0,
Timor-Leste,0,0,0,0,29.3,0,0,0,0,0,56.7,0,TLS
Togo,0,0,35.4,0,43.9,0,0,0,44.6,0,0,0,TGO
Tonga,94,0,95,96.1,99,0,95.5,0,0,0,0,0,TON
Trinidad and Tobago,0,97.5,99,0,0,0,100,100,100,100,0,0,TTO
