index,Country,2010,2011,2012,2013,2014,2015,2016,2017,Country_Code
0,Afghanistan,39.3,39.3,39.3,45.0,44.8,44.8,45.4,45.4,AFG
1,Albania,12.7,11.9,11.9,11.9,11.9,11.9,9.1,8.5,ALB
2,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,33.7,33.7,DZA
3,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,AND
4,Angola,26.2,0.0,34.6,34.6,34.6,34.6,34.3,34.3,AGO
5,Argentina,12.1,12.1,12.1,8.6,8.1,8.1,6.1,6.2,ARG
6,Armenia,6.5,6.5,3.7,3.7,3.7,3.7,2.9,2.9,ARM
7,Armenia,6.5,6.5,3.7,3.7,3.7,3.7,2.9,2.9,ARM
8,Armenia,6.5,6.5,3.7,3.7,3.7,3.7,2.9,2.9,ARM
9,Armenia,6.5,6.5,3.7,3.7,3.7,3.7,2.9,2.9,ARM
10,Australia,1.7,1.7,1.7,1.8,1.9,1.9,3.7,2.6,AUS
11,Austria,2.4,2.4,2.5,3.7,3.5,4.3,2.6,2.6,AUT
12,Azerbaijan,12.0,8.3,8.3,8.3,8.3,8.3,4.3,3.8,AZE
13,Azerbaijan,12.0,8.3,8.3,8.3,8.3,8.3,4.3,3.8,AZE
14,Azerbaijan,12.0,8.3,8.3,8.3,8.3,8.3,4.3,3.8,AZE
15,Azerbaijan,12.0,8.3,8.3,8.3,8.3,8.3,4.3,3.8,AZE
16,Bahamas,7.9,7.9,0.0,8.0,0.0,0.0,0.0,6.3,BHS
17,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,BHR
18,Bangladesh,44.8,39.4,39.4,37.8,38.6,37.3,37.3,37.3,BGD
19,Barbados,0.0,0.0,0.0,0.0,5.5,5.5,5.5,5.5,BRB
20,Belarus,8.0,5.4,5.4,4.8,3.7,3.7,3.7,3.7,BLR
21,Belgium,5.2,6.5,7.6,9.2,8.1,8.1,9.3,8.7,BEL
22,Belize,19.8,0.0,0.0,0.0,15.9,15.9,15.9,15.9,BLZ
23,Benin,44.1,42.0,42.0,42.0,44.8,44.8,44.8,43.7,BEN
