Country,Country_Code,Two_Letter_Country_Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Year_2017,lang_name,Capital,Currency,Ranking
Afghanistan,AFG,AF,12.412308,13.299017,14.485546,15.816603,17.075727,18.110657,18.853437,19.357126,19.737765,20.170844,20.779953,21.606988,22.60077,23.680871,24.726684,25.654277,26.433049,27.100536,27.722276,28.394813,29.185507,30.117413,31.161376,32.269589,33.370794,34.413603,35.383128,34.656032,34656032.0,Pashto,Kabul,Afghani,115.0
Angola,AGO,AO,11.848386,12.248901,12.657366,13.075049,13.503747,13.945206,14.400719,14.87157,15.359601,15.866869,16.395473,16.945753,17.519417,18.121479,18.758145,19.433602,20.149901,20.905363,21.695634,22.514281,23.356246,24.220661,25.107931,26.01578,26.941779,27.884381,28.842484,28.813463,28813463.0, ,Luanda,Angolan kwanza,62.0
Albania,ALB,AL,3.286542,3.26679,3.247039,3.227287,3.207536,3.187784,3.168033,3.148281,3.12853,3.108778,3.089027,3.060173,3.05101,3.039616,3.026939,3.011487,2.992547,2.970017,2.947314,2.927519,2.913021,2.905195,2.900401,2.895092,2.889104,2.880703,2.876101,2.876101,2876101.0,Albanian,Tirana,Lek,122.0
Andorra,AND,AD,0.054509,0.056671,0.058888,0.060971,0.062677,0.06385,0.06436,0.064327,0.064142,0.06437,0.06539,0.067341,0.070049,0.073182,0.076244,0.078867,0.080993,0.082684,0.083862,0.084463,0.084449,0.083747,0.082427,0.080774,0.079213,0.078011,0.077297,0.077281,77281.0, ,Andorra la Vella,Euros,167.0
United Arab Emirates,ARE,AE,1.828432,1.937153,2.052891,2.173139,2.294385,2.41509,2.539126,2.671362,2.813214,2.966034,3.134062,3.302719,3.478777,3.711932,4.06857,4.588225,5.300174,6.168838,7.089487,7.917372,8.549988,8.946777,9.141596,9.19791,9.214175,9.2629,9.36098,9.269612,9269612.0,Arabic,Abu Dhabi,Dirham,29.0
Argentina,ARG,AR,32.618651,33.079,33.529326,33.970111,34.402672,34.82817,35.246374,35.657429,36.063459,36.467218,36.870787,37.275652,37.681749,38.087868,38.491972,38.892931,39.289878,39.684295,40.08016,40.482788,40.788453,41.26149,41.733271,42.202935,42.6695,43.131966,43.590368,43.84743,43847430.0,Spanish,Buenos Aires,Peso,24.0
Armenia,ARM,AM,3.538171,3.505258,3.442817,3.363108,3.283667,3.217348,3.168221,3.133089,3.108687,3.089022,3.069591,3.050687,3.033978,3.017932,3.00072,2.981269,2.958307,2.932618,2.907618,2.888092,2.877319,2.876538,2.884229,2.897584,2.912403,2.925553,2.936146,2.924816,2924816.0,Armenian,Yerevan,Dram,134.0
Armenia,ARM,AM,3.538171,3.505258,3.442817,3.363108,3.283667,3.217348,3.168221,3.133089,3.108687,3.089022,3.069591,3.050687,3.033978,3.017932,3.00072,2.981269,2.958307,2.932618,2.907618,2.888092,2.877319,2.876538,2.884229,2.897584,2.912403,2.925553,2.936146,2.924816,2924816.0,Armenian,Yerevan,Dram,134.0
Armenia,ARM,AM,3.538171,3.505258,3.442817,3.363108,3.283667,3.217348,3.168221,3.133089,3.108687,3.089022,3.069591,3.050687,3.033978,3.017932,3.00072,2.981269,2.958307,2.932618,2.907618,2.888092,2.877319,2.876538,2.884229,2.897584,2.912403,2.925553,2.936146,2.924816,2924816.0,Armenian,Yerevan,Dram,134.0
Armenia,ARM,AM,3.538171,3.505258,3.442817,3.363108,3.283667,3.217348,3.168221,3.133089,3.108687,3.089022,3.069591,3.050687,3.033978,3.017932,3.00072,2.981269,2.958307,2.932618,2.907618,2.888092,2.877319,2.876538,2.884229,2.897584,2.912403,2.925553,2.936146,2.924816,2924816.0,Armenian,Yerevan,Dram,134.0
