Country,Country_Code,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Albania,ALB,28.8,28.4,28.1,28.6,28.3,28.3,28.3,28.2,28.2,28.2
Algeria,DZA,0.7,0.7,0.7,0.6,0.8,0.8,0.8,0.8,0.8,0.8
Andorra,AND,34,34,34,34,34,34,34,34,34,34
Angola,AGO,48.9,48.4,47.9,47.4,46.9,46.8,46.7,46.6,46.5,46.4
Antigua and Barbuda,ATG,23.4,23.1,22.7,22.3,22.3,22.3,22.3,22.3,22.3,22.3
Argentina,ARG,12.7,12.2,11.6,11,10.4,10.3,10.2,10.1,10,9.9
Armenia,ARM,11.8,11.7,11.7,11.7,11.6,11.6,11.6,11.6,11.7,11.7
Armenia,ARM,11.8,11.7,11.7,11.7,11.6,11.6,11.6,11.6,11.7,11.7
Armenia,ARM,11.8,11.7,11.7,11.7,11.6,11.6,11.6,11.6,11.7,11.7
Armenia,ARM,11.8,11.7,11.7,11.7,11.6,11.6,11.6,11.6,11.7,11.7
Australia,AUS,16.7,16.8,16.8,16.6,16,16.1,16.1,16.2,16.2,16.2
Austria,AUT,45.7,46.1,46.5,46.6,46.7,46.8,46.8,46.8,46.9,46.9
Azerbaijan,AZE,10.2,10.4,10.6,10.6,12.2,12.5,12.8,13.2,13.5,13.8
Azerbaijan,AZE,10.2,10.4,10.6,10.6,12.2,12.5,12.8,13.2,13.5,13.8
Azerbaijan,AZE,10.2,10.4,10.6,10.6,12.2,12.5,12.8,13.2,13.5,13.8
Azerbaijan,AZE,10.2,10.4,10.6,10.6,12.2,12.5,12.8,13.2,13.5,13.8
Bahamas,BHS,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4
Bahrain,BHR,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8
Bangladesh,BGD,11.5,11.4,11.3,11.2,11.1,11.1,11,11,11,11
Barbados,BRB,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
Belarus,BLR,38.4,39.6,40.8,41.6,42.1,42.2,42.3,42.4,42.5,42.5
